episode,reward
5249,-136.61984252929688
5250,-74.99812316894531
5251,-83.37788391113281
5252,-162.46859741210938
5253,-188.00094604492185
5254,-172.28402709960938
5255,17.73132324218753
5256,-153.1119689941406
5257,-117.54039001464842
5258,-176.9394378662109
5259,-177.00657653808594
5260,-24.365219116210966
5261,-121.93304443359376
5262,-121.2308349609375
5263,43.872528076171875
5264,-105.04725646972655
5265,-151.8676300048828
5266,29.028289794921903
5267,-126.23263549804688
5268,-121.93313598632812
5269,-114.66891479492186
5270,-122.91728210449219
5271,-105.82850646972655
5272,-223.0021514892578
5273,-162.9916229248047
5274,-109.6175537109375
5275,-11.676040649414034
5276,-92.15788269042966
5277,-125.0572814941406
5278,-48.31643676757811
5279,-103.71975708007815
5280,-104.49897766113278
